"YEAR","STATE","AGE_CATEGORY","GENDER","DISEASE_CATEGORY","PATIENTS","OFFICE_VISITS","A1C_MEAN","A1C_MEDIAN","A1C_STDDEV","WEIGHT_MEAN","WEIGHT_MEDIAN","WEIGHT_STDDEV","BMI_MEAN","BMI_MEDIAN","BMI_STDDEV","FBG_MEAN","FBG_MEDIAN","FBG_STDDEV","SBP_MEAN","SBP_MEDIAN","SBP_STDDEV","DBP_MEAN","DBP_MEDIAN","DBP_STDDEV"
"2005","AR","2","Female","1","119","838","7.28","7","1.75","217.19","212","56.86","36.13","35.61","9.39","161.48","132","83.85","131.42","130","16.44","79.18","80","8.89"
"2005","AR","2","Female","2","123","955","7.1","6.6","1.61","218.33","213","53","36.29","35.27","8.62","154.42","130.5","74.98","133.17","132","17.47","80.23","80","9.81"
"2005","AR","3","Female","1","174","1340","6.91","6.8","1.09","189.32","182.75","45.32","32.62","31.66","7.57","145.22","127","58.97","134.57","132","17.35","75.36","76","9.27"
"2005","AR","3","Female","2","176","1387","6.86","6.7","1.12","194.98","190","44.34","33.39","32.1","7.26","143.58","125","61.06","135.93","134","17.55","76.38","78","9.81"
"2005","AR","3","Male","1","140","969","7.11","6.9","1.33","224.36","224","39.23","32.07","32.27","4.88","159.49","138","68.9","134.62","134","17.9","76.15","78","9.53"
"2005","AR","3","Male","2","143","985","6.95","6.75","1.31","220.1","218.5","39.7","31.96","31.99","4.8","157","137","68.16","135.54","134","17.5","76.25","78","9.87"
"2005","AR","4","Female","1","124","933","6.75","6.6","0.97","162.65","156.7","34.61","28.34","27.12","5.63","137.11","123","49.98","138.01","138","16.3","72.7","72","10.09"
"2005","AR","4","Female","2","129","1005","6.74","6.6","1.06","166.04","158","36.72","28.99","27.61","6.08","134.72","122","47.73","138.36","138","16.11","72.91","72","10.04"
"2005","AZ","3","Female","1","419","3858","6.9","6.7","1.01","184.95","180","43.04","32.46","31.62","7.15","135.55","125","51.7","134.53","132","18.47","72.79","72","10.37"
"2005","AZ","3","Female","2","485","4348","6.68","6.5","0.96","184.1","180","42.81","32.36","31.53","7.09","126.28","115","46.18","135.19","132","18.39","73.95","74","10.24"
"2005","AZ","3","Male","1","468","4303","6.89","6.8","0.98","217.7","212","41.3","31.83","31.13","5.77","139.45","131","46.31","130.71","130","17.02","71.91","72","9.85"
"2005","AZ","3","Male","2","510","4577","6.65","6.5","1.03","217.85","211","43.37","31.81","30.95","5.93","130.7","119","44.45","131.51","130","17.13","73.19","73","9.85"
"2005","AZ","4","Female","1","681","7154","6.83","6.7","0.96","160.77","156","34.84","28.99","28.09","6.68","137.26","124","52.57","136.98","136","19.85","69.7","70","10.32"
"2005","AZ","4","Female","2","861","8733","6.59","6.4","0.92","158.24","154","33.17","28.45","27.56","5.91","127.4","115","46.04","137.76","136","19.77","70.85","70","10.38"
"2005","AZ","4","Male","1","800","8029","6.86","6.7","0.9","190.66","188","31.63","28.51","28.12","4.5","139.84","129","51.82","131.51","130","18.1","68.39","70","10.07"
"2005","AZ","4","Male","2","846","8742","6.65","6.5","0.89","191.18","188","30.78","28.58","28.08","4.34","131.94","120","48.71","132.23","130","18.56","69.62","70","10.24"
"2005","CA","2","Female","1","115","1232","7.12","6.8","1.61","198.9","192.25","57.89","34.96","34.42","8.99","137.44","122.5","56.61","126.78","124","17.35","76.31","76","11.09"
"2005","CA","3","Female","1","101","1121","6.96","6.8","1.36","180.93","175","39.19","32.37","31.43","6.19","128.04","117","46.86","130.6","130","17.92","74.61","73","10.24"
"2005","CT","2","Female","1","169","1518","7.82","7.4","1.97","212.72","202","54.19","37.15","36.39","8.67","170.22","150","83.49","129.16","128","19.65","75.03","74","10.79"
"2005","CT","2","Female","2","149","1235","7.55","7","1.94","218.3","210","51.88","38.73","37.93","8.48","154.05","132","76.56","133.8","132","20.53","77.51","78","11.65"
"2005","CT","3","Female","1","110","916","7.37","7.1","1.62","192.83","187.8","47.68","33.72","32.61","8.46","157.97","143","75.49","135.42","134","21.51","71.84","70","11.16"
"2005","CT","3","Female","2","127","968","7.24","7","1.58","193.86","190","50.04","34.08","33.02","8.76","148.49","131","72.43","137.26","136","21.94","72.97","70","11.51"
"2005","DE","2","Female","1","177","1738","7.59","7.1","1.76","220.31","214","57.27","38.07","37.22","8.66","157.17","133","70.92","135.8","132","23.34","79.21","80","12.12"
"2005","DE","2","Female","2","172","1584","7.34","6.8","1.72","221.96","218","54.92","38.58","37.67","8.15","143.93","121","62.35","139.76","136","23.67","81.27","80","11.77"
"2005","DE","2","Male","1","139","1196","7.78","7.2","2.04","239.65","238","51.11","34.96","34.38","7.05","160.89","139","75.36","136.91","133","22.53","81.99","82","12.55"
"2005","DE","2","Male","2","120","1027","7.69","7.1","2.31","244.1","239","55.79","35.33","34.44","7.21","157.41","136","76.39","138.17","135","21.93","83.79","83","12.57"
"2005","DE","3","Female","1","201","1837","7.3","7","1.44","198.8","195.75","48.88","35.54","34.59","8.75","135.39","122","49.99","140.97","139","23.63","74.12","74","11.22"
"2005","DE","3","Female","2","213","1951","7.27","6.9","1.55","197.87","194","48.39","35.26","33.98","8.75","133.01","119","51.53","141.36","139","23.12","74.84","74","11.08"
"2005","DE","3","Male","1","113","880","7.27","6.9","1.55","211.97","206","39.19","31.64","31.08","5.84","145.62","129.5","60.28","132.87","130","21.16","73.71","73","11.06"
"2005","DE","3","Male","2","122","909","7.13","6.8","1.61","211.21","206.8","39.76","31.59","31.08","5.87","141.64","126","58.18","134.51","132","22.37","74.7","74","11.54"
"2005","FL","3","Male","2","102","607","6.5","6.3","1.12","225.11","220","45.01","33.64","32.79","6.33","123.44","114","42.75","128.34","130","17.89","72.01","72","11.62"
"2005","FL","4","Female","1","137","918","6.51","6.4","0.88","156.05","153","31.46","28.74","28.44","5.41","123.62","115","37.13","131.69","130","17.98","66.66","67","10.22"
"2005","FL","4","Female","2","168","1137","6.45","6.3","0.85","153.07","151","29.77","27.95","27.09","5.03","121.74","114","34.28","132.54","130","18.49","66.78","68","10.75"
"2005","FL","4","Male","1","162","977","6.51","6.4","0.88","191.55","188","35.03","29.26","28.37","5.02","127.18","119","41.24","128.82","130","16.32","67.76","68","10.08"
"2005","FL","4","Male","2","174","1058","6.33","6.2","0.77","193.5","188","36.49","29.86","28.77","5.29","118.59","112","32.62","130.59","130","16.76","69.07","70","10.53"
"2005","GA","2","Female","1","450","4583","7.2","6.7","1.66","217.34","209","54.83","37.51","36.27","9.3","146.11","125","70.82","130.01","130","17.12","78.64","80","10.56"
"2005","GA","2","Female","2","392","4437","7.06","6.6","1.66","223.14","214","53.93","38","36.61","9.22","139.06","120","67.39","132.09","130","17.51","79.85","80","10.87"
"2005","GA","2","Male","1","421","3733","7.12","6.7","1.7","231.2","223","53.86","33.18","32.19","7.69","147.18","132","62.03","131.26","130","17.34","80.3","80","10.72"
"2005","GA","2","Male","2","318","3171","6.97","6.6","1.63","236.06","228","52.21","33.66","32.66","7.38","141.17","126","58.83","133.5","130","17.52","81.57","80","10.89"
"2005","GA","3","Female","1","485","5661","7.03","6.7","1.46","193.8","188","43.02","33.14","32.41","7.42","145.88","132","62.28","134.91","132","18.28","76.57","78","10.59"
"2005","GA","3","Female","2","484","5817","6.93","6.6","1.43","191.36","185","41.77","32.87","32.42","7.1","144.2","128","62.73","135.61","132","18.43","77","78","10.94"
"2005","GA","3","Male","1","451","4226","6.83","6.6","1.21","213.86","211","45.16","30.69","30.02","5.95","145.25","131","57.28","131.54","130","17.81","77.06","78","10.06"
"2005","GA","3","Male","2","381","3768","6.82","6.6","1.3","215.92","212","45.58","31.08","30.2","5.91","142.12","128","55.79","133.2","130","17.94","77.86","80","10.08"
"2005","GA","4","Female","1","256","3208","6.75","6.5","1.24","163.47","162","35.56","28.92","28.53","6.23","141.51","127","56.29","135.97","134","19.22","73.79","72","10.14"
"2005","GA","4","Female","2","257","3532","6.62","6.4","1.13","165.56","164","36.08","29.28","29.07","6.22","137.37","123","53.87","136.82","136","19.16","74.61","74","10.28"
"2005","GA","4","Male","1","166","1705","6.77","6.6","1.07","192.68","188","35.02","27.83","27.27","4.74","138.96","123","57.68","128.72","128","18.45","72.14","70","10.23"
"2005","GA","4","Male","2","148","1607","6.66","6.6","1.06","192.06","189","35.77","27.88","27.41","4.48","139.42","123","58","129.46","128","17.47","73.04","72","9.81"
"2005","IL","2","Female","1","131","1045","7.57","7.2","2.04","214.05","206.98","46.89","35.87","34.33","6.91","155.8","135.5","78.84","129.69","130","17.09","74.57","74","10.3"
"2005","IL","2","Female","2","118","1092","7.54","7.05","1.99","216.61","212","44.02","36.2","34.88","6.17","151.42","132","68.59","131.94","130","17.99","76.75","76","11.31"
"2005","IL","2","Male","1","130","808","7.58","7.3","1.73","245.01","236","61.81","34.76","34.06","7.29","157.93","141","68.63","133.71","132","16.66","77.26","78","10.7"
"2005","IL","2","Male","2","127","825","7.55","7.2","1.67","250.32","249.17","58.22","35.48","35.35","6.85","152.84","134","65.95","135.71","134","16.98","78.51","80","11.14"
"2005","IL","3","Female","1","183","1691","7.35","7","1.65","198.52","193","46.21","34.52","33.06","8.19","145.9","133","60.7","133.33","132","17.24","71.42","70","9.65"
"2005","IL","3","Female","2","185","1657","7.38","7","1.68","202.04","194","46.74","35.37","33.91","8.18","140.64","126","56.57","134.1","132","17.13","72.36","72","10.05"
"2005","IL","3","Male","1","174","1408","7.13","7.1","1.21","227.08","219.11","45.65","32.94","32.4","5.96","152.31","142","58.54","132.32","132","16.84","73.02","72","10.28"
"2005","IL","3","Male","2","169","1303","7.05","7","1.28","227.2","219.13","45.15","32.93","32.46","6.05","145.97","132","56.34","133.68","132","16.28","73.52","72","10.18"
"2005","IL","4","Female","1","130","1124","7.12","6.9","1.22","172.5","170","39.12","30.69","30.89","6.59","141","129","59.66","134.31","132","18.44","68.44","70","11.19"
"2005","IL","4","Female","2","154","1391","7.02","6.8","1.16","171.97","170.49","39.65","30.71","30.88","6.78","139.1","126","57.4","134.3","132","19.04","68.51","70","11.23"
"2005","IN","2","Female","1","104","688","7.18","6.8","1.71","222.9","212","50.82","37.79","36.17","8.26","139.48","121","70.18","134.02","130","20.04","78.44","80","10.63"
"2005","IN","2","Female","2","101","709","6.98","6.5","1.82","219.42","206.05","53.57","36.93","35.17","8.6","135.39","112","72","135.05","131","21.02","80.72","80","11.81"
"2005","IN","2","Male","1","123","462","6.95","6.7","1.43","242.96","237","55.05","34.79","34.27","6.87","136.08","125","51.83","138.26","136","21.74","82.63","82","12.18"
"2005","IN","2","Male","2","121","577","6.88","6.6","1.56","242.81","234","53.37","34.62","34","7.22","135.69","117","64.64","138.71","138","20.48","85.06","84","11.79"
"2005","IN","3","Female","1","100","522","6.97","6.6","1.49","201.66","195.1","51.28","35.52","33.35","8.01","139.33","128","53.14","140.59","140","21.86","73.84","74","11.13"
"2005","IN","3","Female","2","104","571","6.8","6.6","1.35","195.99","190.25","47.72","34.78","33.42","7.9","129.96","118","46.76","139.92","138.5","21.6","74.82","75","11.34"
"2005","KS","2","Male","2","124","893","6.94","6.45","1.65","243.95","236","52.03","34.86","33.63","6.86","137.07","118","67.2","128.5","127","22.19","78.5","80","12.78"
"2005","KS","3","Female","1","106","760","7.28","7","1.44","198.3","193.75","44.16","34.61","33.48","7.83","160.88","138.5","79.49","136.02","136","23.65","74.29","74","11.87"
"2005","KS","3","Female","2","139","935","7","6.7","1.34","195.3","192","42.04","33.95","32.92","7.16","147.83","121.5","78.14","136.66","138","24.15","74.83","75","12.06"
"2005","KS","3","Male","1","163","1219","7.33","7","1.42","221.92","214","45.49","32.27","31.78","5.83","151.38","138","59.21","125.39","122","20.05","71.74","70","11.76"
"2005","KS","3","Male","2","207","1674","6.83","6.4","1.36","216.72","209","42.6","31.31","30.82","5.63","133.8","120","51.77","126.51","124","19.42","73.75","72","11.6"
"2005","KY","2","Female","1","286","1084","7.69","7.3","1.67","205.36","200","53.14","35.64","34.67","8.02","169.08","153","68.38","121.47","120","16.08","71.39","70","9.08"
"2005","KY","2","Female","2","196","769","7.74","7.4","1.54","207.85","201","52.74","35.56","34.34","8.27","168.3","155","63.61","123.4","122","16.27","71.62","70","9.4"
"2005","KY","2","Male","1","288","1177","7.48","7.3","1.49","239.31","235","49.22","34.04","33.51","6.82","166.16","154","67.05","121.86","120","15.38","72.59","70","9.35"
"2005","KY","2","Male","2","220","912","7.49","7.3","1.45","236.15","232","49.37","33.77","33","6.92","162.27","149","68.09","123.22","120","15.56","73.35","72","9.52"
"2005","KY","3","Female","1","332","1258","7.2","7","1.19","193.38","189","42.08","33.29","32.67","6.77","153.16","144","56.87","125.59","126","15.99","67.66","68","8.99"
"2005","KY","3","Female","2","279","1064","7.22","7","1.22","193.1","190.5","43.42","33.37","32.86","7.09","154.85","143","62.5","126.25","126","15.85","67.48","66","9.06"
"2005","KY","3","Male","1","353","1471","7.36","7.1","1.34","220.09","214","42.24","31.48","30.79","5.54","161.97","151","63.11","124.42","124","16.03","67.67","68","8.72"
"2005","KY","3","Male","2","268","1129","7.34","7.1","1.33","219.96","213","42.7","31.44","30.67","5.52","161.6","150","62.59","125.25","126","15.84","67.45","68","8.68"
"2005","KY","4","Female","1","158","617","7.17","7.05","1.09","164.8","162","37.85","29.54","28.77","6.5","147.36","138","55.39","128.11","130","15.93","64.27","64","10.14"
"2005","KY","4","Female","2","127","522","7.09","7","1.04","168.24","167.5","39.25","30.29","29.64","6.61","148.22","141","57.72","128.94","130","15.5","64.81","64","10.01"
"2005","KY","4","Male","1","127","503","7.02","6.9","0.96","193.38","189","33.59","28.37","27.46","4.76","155.28","148","61.75","123","122","16.62","64.89","64","8.61"
"2005","ME","2","Female","1","170","1809","7.46","7.2","1.49","218.13","215.01","56.03","38.23","38.17","9.4","156.8","141","64.53","129.81","128","16.82","77.11","78","10.29"
"2005","ME","2","Female","2","137","1394","7.31","7","1.4","220.22","222.6","53.92","38.33","38.2","9","152.41","133","63.72","133.01","130","16.81","78.12","80","10.51"
"2005","ME","2","Male","1","115","998","7.78","7.3","1.84","238","228","58.67","35.05","34.13","6.85","180.18","166","79.86","130.8","130","16.19","79.17","80","10.19"
"2005","ME","2","Male","2","124","992","7.39","7","1.76","238.04","229","51.19","35.12","34.24","6.33","174.18","155","72.03","131.99","130","17.13","80.85","80","10.48"
"2005","ME","3","Female","1","134","1204","7.26","6.8","1.38","192.38","191","41.79","33.76","33.3","7.17","148.81","130","67.07","133.8","132","18.17","72.33","72","10.68"
"2005","ME","3","Female","2","150","1360","7.15","6.8","1.31","199.35","197","44.71","35.26","34.59","7.94","142.58","127","61.07","136.3","134","18.69","74.21","74","10.75"
"2005","ME","3","Male","1","103","817","7.56","7.3","1.55","223.57","218","46.27","32.25","31.31","5.66","149.82","141.5","53.45","134.49","134","18.03","73.94","72","9.55"
"2005","ME","3","Male","2","103","810","7.26","7","1.35","220.63","215.69","43.73","31.77","31.28","4.95","147.25","139.5","48.78","137.73","138","18.68","76.19","76","10.92"
"2005","MI","2","Female","1","118","1219","7.68","7.45","1.54","209.26","208","52.39","35.98","34.93","8.71","155.34","141","65.33","131.72","130","18.67","78.44","79","10.74"
"2005","MI","2","Female","2","125","1240","7.29","7","1.59","219.11","212","50.48","37.49","35.99","8.45","140.48","122.5","56.86","133.69","132","17.44","80.25","80","10.45"
"2005","MI","2","Male","1","126","932","7.7","7.2","1.7","228.68","228","49.91","33.49","32.45","7.05","155.9","136","65.84","130.79","130","19.19","78.87","79","10.93"
"2005","MI","2","Male","2","115","892","7.59","7.15","1.79","236.44","240","47.86","34.21","33.71","6.88","152.34","131","66.5","134.85","132","22.04","82.26","80","14.59"
"2005","MI","3","Female","1","106","1147","7.26","7","1.48","204.29","200","40.53","35.29","34.74","6.06","138.12","124","55.48","138.18","136.5","19.57","75.19","75","11.28"
"2005","MI","3","Female","2","130","1447","7.08","6.9","1.53","197.29","193.5","42.94","34.1","33.73","6.44","130.88","117","53.59","139.17","138","19.99","76.03","76","11.21"
"2005","MI","3","Male","1","147","1138","7.21","6.9","1.53","221.15","224","43.79","32.09","31.46","5.71","141.52","128","58.98","132.12","130","19.76","74.2","74","10.7"
